benchmark ID,longest time,final program,intended?,INPLDI?
W111T1,126,"ForEach v0 in GetArray(.names) do {
  SendData //div[@class='d-flex justify-space-between align-center text-field-wrapper solo px-3']/input <v0>
  Click //div[@class='col-2']/button[@id='wp-search']
  ScrapeLink //div[@class='_2Lha']//a[@class='pos-rl cs-p _2mGd '][1]
  GoBack
 }",TRUE,Y
W115T1,6,"ForEach v0 in Descendants(, div[@class='body'], 0) do {
  ScrapeText <v0>/a[@class='lo']
 }",TRUE,Y
W125T1,1000,"ForEach v0 in GetArray(.phone_numbers) do {
  SendData //div[@class='form-col mid-col'][1]//input[@name='rufnummern_rufnummer'] <v0>
  Click //div[@class='form-col mid-col'][2]/button[@name='btn_rufnummern_suche']
  ScrapeText //article[@class='accordion-item clearfix']//td[1]
  ScrapeText //article[@class='accordion-item clearfix']//td[2]
 }",TRUE,Y
W127T1,1000,"ForEach v0 in GetArray(.companies) do {
  SendData //form[@id='companySearchForm']/input[@id='company'] <v0>
  Click //form[@id='companySearchForm']/input[@id='search_button']
  ScrapeText //div[@class='mailer'][1]
  ScrapeText //div[@class='mailer'][2]
  GoBack
 }",TRUE,Y
W138T1,1000,"While true do {
  ForEach v0 in Descendants(, td[@class='tl'], 0) do {
  Click <v0>/a[@itemprop='url']
  ExtractURL
  GoBack
  }
  if valid(//td[@class='next']/a[@class='enabled'][1]) {
  Click //td[@class='next']/a[@class='enabled'][1]
  }
 }",TRUE,Y
W141T1,596,"Click //body/form/div[12]/div[1]/div[5]/div[2]/div[3]/div[1]/div/div[2]/div[1]/div[1]/div/div/div[2]/div[1]/div/table/tbody/tr[1]/td/div/p[2]/select
 Click //body/form/div[12]/div[1]/div[5]/div[2]/div[3]/div[1]/div/div[2]/div[1]/div[1]/div/div/div[2]/div[1]/div/table/tbody/tr[1]/td/div/p[2]/select/option[3]
 ForEach v0 in GetArray(.numbers) do {
  SendData //span[@class='search-key']/input[@name='ctl00$ctl43$g_d30f33ca_a5a7_4f69_bb21_cd4abc25ea12$ctl00$txtSearch'] <v0>
  Click //p[@class='search-btn']/input[@name='ctl00$ctl43$g_d30f33ca_a5a7_4f69_bb21_cd4abc25ea12$ctl00$btnSearch']
  Download //a[@id='ctl00_ctl43_g_d30f33ca_a5a7_4f69_bb21_cd4abc25ea12_ctl00_gvAssessorRollTax_ctl02_chkProperty']/img
 }",TRUE,Y
W144T1,924,"SendKeys //body/div[1]/div[2]/nav/div[2]/div/div[1]/div/div/fieldset/input[1] New York
 Click //body/div[1]/div[2]/nav/div[2]/div/div[1]/div/div/fieldset/input[2]
 While true do {
  ForEach v0 in Descendants(, div[@class='placardDetails'], 0) do {
  ForEach v0 in Children(<v0>, p, 0) do {
  ScrapeText <v0>
  }
  }
  if valid(//div[@id='paging-controls']/a[@class='fx-pagination fx-next']) {
  Click //div[@id='paging-controls']/a[@class='fx-pagination fx-next']
  }
 }",TRUE,Y
W146T1,1000,"ForEach v0 in GetArray(.queries) do {
  SendData //div[@class='d1dlne'][2]/input[@class='Ax4B8 ZAGvjd'] <v0>
  Click //div[@class='mLoZRc']//div[@class='onRPD Ps6EPc']
  ScrapeText //div[@class='kf1m0']/div[@class='YMlKec fxKbKc']
  GoBack
 }",TRUE,Y
W148T1,34,"ForEach v0 in Descendants(//div[@class='innertube'][2], a, 0) do {
  Click <v0>
  ScrapeText //div[@class='innertube'][2]/p[1]
  ScrapeText //div[@class='innertube'][2]/p[3]
  GoBack
 }",TRUE,Y
W149T1,17,"ForEach v0 in Descendants(//table[@class='basic link-rows'], tr[@class='link-row'], 0) do {
  ScrapeText <v0>
 }",TRUE,Y
W14T1,10,"ForEach v0 in Descendants(, div[@class='VideoSearchCard__videoImageWrapper___zPMT9'], 0) do {
  ScrapeLink <v0>/a
 }",TRUE,Y
W157T1,153,"ForEach v0 in GetArray(.inputs) do {
  SendData //div[@class='search-form__input-wrapper'][2]/input[@name='query'] <v0>
  Click //div[@class='search-form__container'][2]/button[@class='js_search-form__button search-form__button btn btn--large btn--red']
  ScrapeText //table[@class='instrument-table js_tab-menu__tab-target js_instrument-table']//td[6]
  ScrapeText //table[@class='instrument-table js_tab-menu__tab-target js_instrument-table']//td[8]
  GoBack
 }",TRUE,Y
W162T1,812,"ForEach v0 in Descendants(//ul[@class='tabs'], a, 0) do {
  Click <v0>
  ForEach v0 in Descendants(, tr[@class='top3'], 0) do {
  ScrapeText <v0>/td[@class='verstrekker']
  ScrapeText <v0>/td[@class='rente']
  }
 }",TRUE,Y
W176T1,55,"ForEach v0 in Children(//body/div[4]/div/div[2]/div[1]/div/div/div/table/tbody, tr, 0) do {
  ScrapeText <v0>/td[1]/a
  ScrapeText <v0>/td[2]
  Click <v0>/td[1]/a
  ScrapeText //tr[@class='occlss-table__row'][3]/td[@class='occlss-table__cell']
  ScrapeText //td[@class='occlss-table__cell'][4]/a
  GoBack
 }",TRUE,Y
