benchmark ID,longest time,final program,intended?,INPLDI?
W111T1,86,"ForEach v0 in GetArray(.names) do {
  SendData //div[@class='d-flex justify-space-between align-center text-field-wrapper solo px-3']/input <v0>
  Click //div[@class='col-2']/button[@id='wp-search']
  ScrapeLink //div[@class='_2Lha']//a[@class='pos-rl cs-p _2mGd '][1]
  GoBack
 }",TRUE,Y
W115T1,10,"ForEach v0 in Descendants(, div[@class='body']) do {
  ScrapeText <v0>/a[@class='lo']
 }",TRUE,Y
W125T1,80,"ForEach v0 in GetArray(.phone_numbers) do {
  SendData //div[@class='form-col mid-col'][1]//input[@name='rufnummern_rufnummer'] <v0>
  Click //div[@class='form-col mid-col'][2]/button[@name='btn_rufnummern_suche']
  ScrapeText //article[@class='accordion-item clearfix']//td[1]
  ScrapeText //article[@class='accordion-item clearfix']//td[2]
 }",TRUE,Y
W127T1,120,"ForEach v0 in GetArray(.companies) do {
  SendData //form[@id='companySearchForm']/input[@id='company'] <v0>
  Click //form[@id='companySearchForm']/input[@id='search_button']
  ScrapeText //div[@class='mailer'][1]
  ScrapeText //div[@class='mailer'][2]
  GoBack
 }",TRUE,Y
W133T1,857,"While true do {
  ForEach v0 in Descendants(//section[@class='searchApp '], h2[@class='flex-12 ellipses']) do {
  ScrapeText <v0>
  }
  if valid(//section[@class='searchApp ']//a[@class='next ']) {
  Click //section[@class='searchApp ']//a[@class='next ']
  }
 }",TRUE,Y
W134T1,138,"While true do {
  ForEach v0 in Descendants(, a[@class='product-item-link ng-binding']) do {
  Click <v0>
  ScrapeText //h1[@class='page-title']
  ScrapeText //div[@class='value'][1]
  ScrapeText //div[@class='value'][2]
  Download //img[@class='fotorama__img magnify-opaque']
  GoBack
  }
  if valid(//a[@class='action next']) {
  Click //a[@class='action next']
  }
 }",TRUE,Y
W138T1,405,"While true do {
  ForEach v0 in Descendants(, td[@class='tl']) do {
  Click <v0>/a[@itemprop='url']
  ExtractURL
  GoBack
  }
  if valid(//td[@class='next']/a[@class='enabled'][1]) {
  Click //td[@class='next']/a[@class='enabled'][1]
  }
 }",TRUE,Y
W141T1,153,"Click //body/form/div[12]/div[1]/div[5]/div[2]/div[3]/div[1]/div/div[2]/div[1]/div[1]/div/div/div[2]/div[1]/div/table/tbody/tr[1]/td/div/p[2]/select
 Click //body/form/div[12]/div[1]/div[5]/div[2]/div[3]/div[1]/div/div[2]/div[1]/div[1]/div/div/div[2]/div[1]/div/table/tbody/tr[1]/td/div/p[2]/select/option[3]
 ForEach v0 in GetArray(.numbers) do {
  SendData //span[@class='search-key']/input[@name='ctl00$ctl43$g_d30f33ca_a5a7_4f69_bb21_cd4abc25ea12$ctl00$txtSearch'] <v0>
  Click //p[@class='search-btn']/input[@name='ctl00$ctl43$g_d30f33ca_a5a7_4f69_bb21_cd4abc25ea12$ctl00$btnSearch']
  Download //a[@id='ctl00_ctl43_g_d30f33ca_a5a7_4f69_bb21_cd4abc25ea12_ctl00_gvAssessorRollTax_ctl02_chkProperty']/img
 }",TRUE,Y
W144T1,548,"SendKeys //body/div[1]/div[2]/nav/div[2]/div/div[1]/div/div/fieldset/input[1] New York
 Click //body/div[1]/div[2]/nav/div[2]/div/div[1]/div/div/fieldset/input[2]
 While true do {
  ForEach v0 in Descendants(, li[@class='placards wdrp_components_location_results_placards']) do {
  ScrapeText <v0>//p[@class='fx-location-title']
  ScrapeText <v0>//p[@class='fx-location-address']
  }
  if valid(//div[@id='container']//a[@class='fx-pagination fx-next']) {
  Click //div[@id='container']//a[@class='fx-pagination fx-next']
  }
 }",TRUE,Y
W146T1,187,"ForEach v0 in GetArray(.queries) do {
  SendData //div[@class='T4LgNb']//input[@class='Ax4B8 ZAGvjd'] <v0>
  Click //div[@class='T4LgNb']//div[@class='onRPD Ps6EPc']
  ScrapeText //div[@class='T4LgNb'][2]//div[@class='YMlKec fxKbKc']
  GoBack
 }",TRUE,Y
